PARK,PARK_NO,NAME,the_geom,X_COORD,Y_COORD,ARTIST,OWNER,GISOBJID
ANDERSON (LOUIS),1020,Mosaic,POINT (-87.6207690147709 41.82629366535886),-87.62076901,41.82629367,Jewell Pates,CPD,6120
ATHLETIC FIELD,80,Playground Art,POINT (-87.71667689541525 41.94694863935149),-87.7166769,41.94694864,Andy Hunt,CPD,6121
BARRETT (JOHN),1022,Libertad,POINT (-87.67668433416297 41.85260033599927),-87.67668433,41.85260034,Jesus Chucho Rodriguez,CPD,6122
BEVERLY,254,Conner T. Lowry Memorial,POINT (-87.68379773390193 41.708307759296396),-87.68379773,41.70830776,Marshall Scendsen & John Alaniz,CPD,6124
BERGER (ALBERT),1255,A Time of Trumpets,POINT (-87.65488960738033 41.995494464310276),-87.65488961,41.99549447,"Patricia Murphy, Patti Adachi, Ben Seamons",CPD,6123
BLACKHAWK,122,Portrait of Chief Black Hawk,POINT (-87.75151521329285 41.92288480253973),-87.75151521,41.9228848,Unknown,CPD,6125
BROADWAY ARMORY,462,Building the Heart of Edgewater,POINT (-87.65995723400648 41.98961327895177),-87.65995723,41.98961328,Kathy Gemperle,CPD,6126
BURNHAM (DANIEL),27,Don't Feed the Seagulls,POINT (-87.58497536050783 41.8066594644748),-87.58497536,41.80665947,Jeff Zimmerman,CPD,6127
BURNHAM (DANIEL),27,Tribute to Freedom & Water Wall,POINT (-87.6172162976744 41.863584869541526),-87.6172163,41.86358487,Anna Koh Varilla & Jeffrey Hanson Varilla,CPD,6128
BUTTERCUP,385,Roosevelt Road Bridge Sculptures,POINT (-87.65447902496604 41.97204524300158),-87.65447902,41.97204524,Miklos Simon,CPD,6129
CALUMET,11,Bas-relief Panels,POINT (-87.53053930507714 41.71794040033961),-87.53053931,41.7179404,Frederick Cleveland Hibbard,CPD,6130
CALUMET,11,Illinois Heritage Series,POINT (-87.53054480571092 41.7177707534894),-87.53054481,41.71777075,Tom Lea,CPD,6131
